producto_id,familia,categoria,subfamilia_slug,nombre,referencia,precio_eur,gama_marca,grosor_nm,cabos,formato,longitud_m,contenido_cantidad,contenido_unidad,color_nombre,color_codigo,cremallera_maya,cremallera_material,cremallera_tipo,cremallera_largo_cm,ancho_mm,acabado,aguja_sistema,aguja_calibre,soporte,es_pack,unidades_pack,es_outlet,eje_variedad,kits,n_kits,kit_a_marroquineria,kit_b_tapiceria,kit_c_bolsos,kit_d_costura_tecnica,kit_e_bordado,kit_f_acabado,url
300-R+2085-9999999029196,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  80/12,R-2085,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,80/12,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/300-R+2085-9999999029196.html
303-R+12540-9999999029165,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR  90/14,R-12540,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,90/14,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/303-R+12540-9999999029165.html
301-R+2086-9999999029127,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35LR 140/22,R-2086,4.94,,,,Unidad,,,,,,,,,,,,134-35LR,140/22,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/301-R+2086-9999999029127.html
48-R+2089-9999999029202,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134-35R 100/16,R-2089,4.54,,,,Unidad,,,,,,,,,,,,134-35R,100/16,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/48-R+2089-9999999029202.html
327-R+1282-9999999026232,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  100/16,R-1282,4.94,,,,Unidad,,,,,,,,,,,,134D,100/16,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/327-R+1282-9999999026232.html
326-R+1283-9999999026331,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  110/18,R-1283,4.94,,,,Unidad,,,,,,,,,,,,134D,110/18,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/326-R+1283-9999999026331.html
285-R+1285-9999999026263,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  130/21,R-1285,4.94,,,,Unidad,,,,,,,,,,,,134D,130/21,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/285-R+1285-9999999026263.html
41-R+1286-9999999026324,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  70/10,R-1286,4.94,,,,Unidad,,,,,,,,,,,,134D,70/10,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/41-R+1286-9999999026324.html
328-R+1287-9999999026287,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  80/12,R-1287,4.94,,,,Unidad,,,,,,,,,,,,134D,80/12,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/328-R+1287-9999999026287.html
286-R+8499-9999999026317,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134D  85/13,R-8499,4.94,,,,Unidad,,,,,,,,,,,,134D,85/13,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/286-R+8499-9999999026317.html
